time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
77000,80.1,591.2,133.0,690.0,0.99512,3.439856,0.265673,1.356321,0.215574,0.692661
77000,1130.0,411.1,1170.8,488.0,0.98751,1.268972,0.367436,3.118027,0.336368,0.955899
77000,292.2,362.9,325.0,443.4,0.98330,3.979304,0.441990,1.153453,0.203215,0.486466
77000,548.5,293.5,583.3,360.1,0.98183,4.033824,0.602694,0.825695,0.326126,0.541072
77000,990.9,263.5,1028.5,330.4,0.97292,1.424706,0.393009,3.316971,0.269459,0.711613
77000,847.2,415.0,918.0,472.2,0.96708,3.252647,0.251497,1.287846,0.339970,1.168689
77000,452.2,382.3,490.7,456.8,0.96266,1.791224,0.833455,3.845553,0.459856,1.629072
77000,374.0,309.6,403.7,382.9,0.96199,1.364972,0.430407,2.970233,0.217761,0.876720
77000,781.2,192.4,802.6,248.3,0.95670,0.521418,0.220351,1.002413,0.336228,3.260351
77000,632.0,457.1,688.9,520.7,0.95176,1.586930,0.495015,3.035737,0.319027,1.237718
77000,756.4,100.1,776.4,146.9,0.93530,1.422398,0.250758,2.410781,0.207099,0.391502
77000,690.7,55.6,708.8,95.5,0.93429,2.222675,0.142291,0.102959,0.088717,0.037374
77000,296.8,200.2,319.8,250.1,0.91557,1.841845,0.467399,3.048806,0.150946,0.700250
77000,711.0,299.1,747.7,355.0,0.91415,1.724031,0.511679,3.344392,0.327990,0.800992
77000,1138.7,574.5,1176.5,664.5,0.91204,4.656992,0.566392,1.738118,0.260375,0.864034
77000,893.8,181.2,914.5,223.1,0.81173,1.193074,0.203767,2.647619,0.268049,0.517097
77000,571.2,86.9,592.5,132.6,0.77119,2.025105,0.136687,0.369001,0.124828,0.135781
77000,596.0,64.1,611.6,93.5,0.73344,1.142610,0.147225,1.911107,0.211247,0.388231
77000,961.5,223.4,981.9,251.0,0.72232,2.639904,0.249246,0.495234,0.259876,0.244411
77000,97.2,115.4,115.7,158.4,0.57291,1.543492,0.064620,0.034538,0.000600,0.000000
77000,465.0,383.4,490.6,432.3,0.45899,1.726841,0.840262,3.512416,0.489008,1.677191
77000,949.1,221.4,982.8,276.6,0.42693,3.069107,0.360296,0.599047,0.277324,0.341224
77000,958.2,240.0,976.4,263.2,0.26231,2.095176,0.246708,0.235222,0.019200,0.099398
77040,74.5,590.0,128.3,688.3,0.99557,3.699948,0.361641,1.495667,0.294629,1.159357
77040,1117.2,409.9,1160.3,487.2,0.99222,1.481935,0.413543,2.712093,0.398051,1.093700
77040,620.8,457.0,686.9,527.3,0.98832,1.685854,0.527078,3.076811,0.418430,1.381241
77040,285.5,360.8,319.3,442.5,0.98329,4.157185,0.474159,1.204684,0.215129,0.651661
77040,367.5,310.5,398.7,385.7,0.97952,1.536807,0.589017,3.115079,0.454445,1.055997
77040,537.0,293.1,573.4,362.1,0.97783,3.851493,0.362200,0.669536,0.279629,0.350521
