time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
6537000,302.8,467.5,337.4,557.1,0.99633,0.400694,0.219732,5.348323,0.902625,0.658790
6537000,446.0,383.2,474.2,447.5,0.98787,4.022961,0.269551,0.399567,0.859807,1.237919
6537000,898.2,311.5,929.6,383.6,0.98759,3.231029,0.290312,0.268692,0.574318,0.793214
6537000,128.1,591.4,159.2,682.1,0.98567,0.333577,0.150876,4.620450,0.853217,0.518724
6537000,649.9,473.4,681.1,549.3,0.98509,5.067431,0.174615,0.226463,0.337454,0.630099
6537000,681.2,502.8,717.6,585.7,0.98365,0.346128,0.159662,5.018757,0.654237,0.427428
6537000,665.0,384.3,698.9,454.5,0.97568,0.215575,0.183550,4.860990,0.600006,0.378276
6537000,925.3,492.4,957.9,564.0,0.97551,1.163038,0.645099,1.123904,3.445566,3.489074
6537000,94.0,637.6,140.7,720.0,0.97266,5.114830,0.277351,0.940175,1.180695,1.577113
6537000,767.9,328.1,795.6,393.1,0.94521,0.222276,0.125171,4.212522,0.600570,0.420769
6537000,551.5,371.9,572.6,439.0,0.88566,0.403237,0.257533,4.544053,0.861374,0.621494
6537000,596.0,196.6,622.1,240.5,0.87626,0.037435,1.355300,1.589982,0.490302,0.143272
6537000,409.9,186.8,433.2,238.6,0.86599,0.445212,0.546645,0.507477,0.716942,0.521579
6537000,548.0,261.2,588.2,314.0,0.84603,0.263380,0.011900,0.272940,1.126817,1.085449
6537000,821.3,202.8,843.1,249.0,0.79000,0.000000,0.055245,0.655478,0.000000,0.000000
6537000,441.7,186.2,467.2,243.7,0.73909,0.004465,0.000000,2.283134,0.206434,0.008210
6537000,1011.8,195.4,1043.4,254.4,0.73146,1.062259,0.733388,1.256995,1.629328,1.480205
6537000,663.5,199.6,685.5,251.4,0.73100,0.218863,0.037813,1.256379,0.395138,0.385476
6537000,290.0,199.7,331.7,240.9,0.65771,0.004809,0.000000,1.752453,0.393959,0.136785
6537000,1247.3,210.2,1273.2,259.3,0.55768,0.004809,0.011537,1.435802,0.018200,0.000000
6537000,1131.2,142.7,1158.2,169.8,0.52817,0.633223,0.000000,0.033219,0.401005,0.767126
6537000,1134.9,204.1,1160.0,254.5,0.45532,0.078027,0.090619,1.138745,0.453558,0.190417
6537000,818.7,133.8,844.2,164.5,0.37967,0.019235,0.000000,0.156736,0.424542,0.218665
6537000,1072.8,251.1,1097.1,268.7,0.37115,0.028853,0.000000,0.480648,1.734951,0.562972
6537000,872.3,244.8,890.2,262.1,0.34727,0.014426,0.000000,0.589120,1.180900,0.346226
6537000,298.2,112.7,324.5,153.8,0.34090,0.083318,0.000000,0.200972,0.452220,0.124647
6537000,46.9,123.0,67.8,155.8,0.33283,0.023700,0.000000,0.164350,0.140019,0.067267
6537000,1155.9,251.6,1175.3,270.8,0.28003,0.000000,0.000000,0.887189,0.092183,0.000000
6537000,913.7,245.8,933.2,263.0,0.25369,0.041215,0.000000,0.369712,1.191592,0.262806
6537033,302.7,468.6,337.5,556.5,0.99535,0.409573,0.204305,5.485235,0.884167,0.608157
6537033,448.2,384.5,476.7,448.4,0.99324,3.891861,0.364118,0.424322,0.916071,1.325886
6537033,648.5,470.9,677.7,548.9,0.98950,4.501877,0.242873,0.236359,0.289526,0.530036
6537033,679.1,500.9,717.0,582.9,0.98929,0.150938,0.240210,5.024858,0.683172,0.356962
6537033,900.4,312.0,929.9,383.2,0.98124,3.267311,0.336158,0.403887,0.677103,1.153179
